,n_features,seed,type,time,time_norm
64,17,6,quadratic,0.054869150975719094,5.4869150975719095e-05
65,17,6,linear_quadratic,0.009109105973038822,9.109105973038823e-06
66,97,9,cubic,0.13341619199491106,0.00013341619199491107
67,97,9,linear_cubic,70.55608904600376,0.07055608904600376
68,127,4,cubic,0.07139469997491688,7.139469997491687e-05
69,127,4,linear_cubic,132.1444940920337,0.13214449409203372
70,52,6,quadratic,0.049579106002056506,4.9579106002056505e-05
71,52,6,linear_quadratic,0.9915844120041584,0.0009915844120041584
72,143,0,quadratic,0.09671199001604691,9.671199001604691e-05
73,143,0,linear_quadratic,1.9207738559925929,0.001920773855992593
74,133,9,quadratic,0.12517425400437787,0.00012517425400437787
75,133,9,linear_quadratic,2.7938411600189283,0.0027938411600189283
76,42,5,cubic,0.07236768596339971,7.236768596339971e-05
77,42,5,linear_cubic,1.2467323779710568,0.0012467323779710568
78,106,0,quadratic,0.06619992099876981,6.619992099876981e-05
79,106,0,linear_quadratic,1.366137869998056,0.001366137869998056
80,120,3,quadratic,0.07344836401171051,7.344836401171051e-05
81,120,3,linear_quadratic,2.6122559899813496,0.0026122559899813495
82,64,6,cubic,0.0729845559981186,7.298455599811859e-05
83,64,6,linear_cubic,5.185695941996528,0.005185695941996528
84,6,5,cubic,0.09533136297250167,9.533136297250166e-05
85,6,5,linear_cubic,0.007573537994176149,7.57353799417615e-06
86,94,0,quadratic,0.0487448600033531,4.87448600033531e-05
87,94,0,linear_quadratic,1.1269095269963145,0.0011269095269963146
88,21,6,cubic,0.08591977899777703,8.591977899777703e-05
89,21,6,linear_cubic,0.8489761549863033,0.0008489761549863033
90,49,5,quadratic,0.12962061899997934,0.00012962061899997933
91,49,5,linear_quadratic,0.9756158179998238,0.0009756158179998238
92,59,6,cubic,0.12413400199875468,0.00012413400199875468
93,59,6,linear_cubic,3.7263629309964017,0.0037263629309964015
94,11,0,quadratic,0.12798378997831605,0.00012798378997831605
95,11,0,linear_quadratic,0.004537266009720042,4.537266009720042e-06
96,121,2,cubic,0.08108199801063165,8.108199801063165e-05
97,121,2,linear_cubic,132.1488647669903,0.1321488647669903
98,24,9,quadratic,0.08145429199794307,8.145429199794307e-05
99,24,9,linear_quadratic,0.04114571900572628,4.1145719005726275e-05
100,54,0,quadratic,0.265189305995591,0.000265189305995591
101,54,0,linear_quadratic,1.0347027730022091,0.001034702773002209
102,61,9,quadratic,0.09171458601485938,9.171458601485938e-05
103,61,9,linear_quadratic,1.4108298509963788,0.0014108298509963788
104,72,3,quadratic,0.07398583498434164,7.398583498434164e-05
105,72,3,linear_quadratic,1.2295051940018311,0.0012295051940018312
106,142,1,cubic,0.07229477498913184,7.229477498913184e-05
107,142,1,linear_cubic,172.64603696099948,0.17264603696099948
108,37,3,quadratic,0.1380135779909324,0.00013801357799093239
109,37,3,linear_quadratic,0.22250898600032087,0.00022250898600032086
110,132,8,cubic,0.09747531497851014,9.747531497851014e-05
111,132,8,linear_cubic,84.33377849799581,0.08433377849799581
112,107,1,cubic,0.06108012900222093,6.108012900222092e-05
113,107,1,linear_cubic,72.05778175100568,0.07205778175100568
114,82,5,cubic,0.0880273990042042,8.80273990042042e-05
115,82,5,linear_cubic,32.51648661500076,0.032516486615000756
116,57,9,cubic,0.15250707700033672,0.0001525070770003367
117,57,9,linear_cubic,18.428053313982673,0.018428053313982673
118,126,5,quadratic,0.050217675998283084,5.0217675998283084e-05
119,126,5,linear_quadratic,1.7392391510002199,0.0017392391510002198
120,62,0,cubic,0.04663420900760684,4.663420900760684e-05
121,62,0,linear_cubic,5.66992069700791,0.005669920697007911
122,12,9,cubic,0.11433581297751516,0.00011433581297751516
123,12,9,linear_cubic,0.06803098600357771,6.80309860035777e-05
124,92,6,quadratic,0.0957009979756549,9.57009979756549e-05
125,92,6,linear_quadratic,1.1214905979577452,0.0011214905979577451
126,27,0,cubic,0.17444242804776877,0.00017444242804776877
127,27,0,linear_cubic,0.44310098799178377,0.00044310098799178375
128,145,6,quadratic,0.12181995500577614,0.00012181995500577614
129,145,6,linear_quadratic,2.9650644100038335,0.0029650644100038333
130,44,3,cubic,0.09577342198463157,9.577342198463157e-05
131,44,3,linear_cubic,3.598237030033488,0.0035982370300334876
132,100,6,quadratic,0.11908700602361932,0.00011908700602361933
133,100,6,linear_quadratic,1.0103921889676712,0.0010103921889676713
134,28,4,quadratic,0.14860523102106526,0.00014860523102106527
135,28,4,linear_quadratic,0.052447228983510286,5.244722898351029e-05
136,118,6,cubic,0.08528137800749391,8.528137800749392e-05
137,118,6,linear_cubic,104.50515247997828,0.10450515247997828
138,38,7,cubic,0.08707249502185732,8.707249502185732e-05
139,38,7,linear_cubic,2.839509425975848,0.002839509425975848
140,139,2,quadratic,0.0560665350058116,5.60665350058116e-05
141,139,2,linear_quadratic,1.9167802530064364,0.0019167802530064364
142,56,2,quadratic,0.07404078001854941,7.404078001854941e-05
143,56,2,linear_quadratic,1.120408905990189,0.001120408905990189
144,123,0,cubic,0.10001836900482886,0.00010001836900482885
145,123,0,linear_cubic,124.64549889200134,0.12464549889200134
146,116,9,cubic,0.0792915599886328,7.92915599886328e-05
147,116,9,linear_cubic,90.83014479800477,0.09083014479800476
148,13,2,quadratic,0.09083286998793483,9.083286998793483e-05
149,13,2,linear_quadratic,0.006070745002944022,6.070745002944022e-06
150,80,7,cubic,0.04300146499736002,4.300146499736002e-05
151,80,7,linear_cubic,10.755569591994572,0.010755569591994573
152,105,3,cubic,0.10625337099190801,0.00010625337099190801
153,105,3,linear_cubic,85.64832762797596,0.08564832762797596
154,35,1,quadratic,0.056550458997662645,5.6550458997662644e-05
155,35,1,linear_quadratic,0.1778282719969866,0.00017782827199698659
156,45,8,quadratic,0.05441289598820731,5.4412895988207314e-05
157,45,8,linear_quadratic,0.6324194060289301,0.00063241940602893
158,140,3,cubic,0.11111287499079481,0.0001111128749907948
159,140,3,linear_cubic,146.90168589598034,0.14690168589598035
160,70,1,quadratic,0.07524445297895,7.524445297894999e-05
161,70,1,linear_quadratic,1.176458592992276,0.001176458592992276
162,25,2,cubic,0.08541309501742944,8.541309501742945e-05
163,25,2,linear_cubic,1.0850617549731396,0.0010850617549731396
164,90,4,quadratic,0.11233533601625822,0.00011233533601625822
165,90,4,linear_quadratic,2.504037663980853,0.0025040376639808527
166,60,2,cubic,0.04090115599683486,4.090115599683486e-05
167,60,2,linear_cubic,5.268090826000844,0.005268090826000844
168,124,7,quadratic,0.0678870480041951,6.78870480041951e-05
169,124,7,linear_quadratic,1.5865250139613636,0.0015865250139613636
170,102,4,quadratic,0.07811002800008282,7.811002800008283e-05
171,102,4,linear_quadratic,1.3857765140128322,0.001385776514012832
172,46,1,cubic,0.13614393101306632,0.0001361439310130663
173,46,1,linear_cubic,3.7387371380173136,0.0037387371380173135
174,73,8,cubic,0.11122962800436653,0.00011122962800436653
175,73,8,linear_cubic,23.5365736100066,0.0235365736100066
176,147,4,quadratic,0.06944982701679692,6.944982701679691e-05
177,147,4,linear_quadratic,3.5840089530101977,0.0035840089530101977
178,36,8,cubic,0.0810963990224991,8.10963990224991e-05
179,36,8,linear_cubic,2.594014310016064,0.002594014310016064
180,73,9,cubic,0.1985152109991759,0.00019851521099917591
181,73,9,linear_cubic,40.71688560198527,0.04071688560198527
182,46,0,cubic,0.12864926899783313,0.00012864926899783314
183,46,0,linear_cubic,4.8511642559897155,0.004851164255989715
184,102,5,quadratic,0.03491471003508195,3.491471003508195e-05
185,102,5,linear_quadratic,0.5855385760078207,0.0005855385760078207
186,36,9,cubic,0.12073747295653448,0.00012073747295653447
